% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift
                19   1.90000000E+00   1.00000000E-01                5   6.4621704800224888E-02   3.7153963527189543E-01
                20   2.00000000E+00   1.00000000E-01                5   6.4871732965868775E-02   3.7769080376749831E-01
                21   2.10000000E+00   1.00000000E-01                5   6.5398354025862693E-02   3.8395971474461432E-01
                22   2.20000000E+00   1.00000000E-01                5   6.6215040606379061E-02   3.9027337829326575E-01
                23   2.30000000E+00   1.00000000E-01                5   6.7327113490289997E-02   3.9652430573917219E-01
                24   2.40000000E+00   1.00000000E-01                5   6.8735400098987806E-02   4.0261175540826044E-01
                25   2.50000000E+00   1.00000000E-01                5   7.0440099887988883E-02   4.0849962817196012E-01
                26   2.60000000E+00   1.00000000E-01                5   7.2444148245603066E-02   4.1427058509110104E-01
                27   2.70000000E+00   1.00000000E-01                5   7.4756593717558995E-02   4.2015146428644057E-01
                28   2.80000000E+00   1.00000000E-01                5   7.7391105003799490E-02   4.2648999578457158E-01
                29   2.90000000E+00   1.00000000E-01                5   8.0360321589242847E-02   4.3368281845740347E-01
                30   3.00000000E+00   1.00000000E-01                5   8.3671926553667231E-02   4.4208018286841977E-01
                31   3.10000000E+00   1.00000000E-01                5   8.7324048873372973E-02   4.5190223609198993E-01
                32   3.20000000E+00   1.00000000E-01                5   9.1299196920832340E-02   4.6319198952374235E-01
                33   3.30000000E+00   1.00000000E-01                5   9.5556171931344927E-02   4.7580259627285243E-01
                34   3.40000000E+00   1.00000000E-01                5   1.0001974844833253E-01   4.8936946293478972E-01
                35   3.50000000E+00   1.00000000E-01                5   1.0457123014158601E-01   5.0327610551233337E-01
                36   3.60000000E+00   1.00000000E-01                5   1.0903850774200326E-01   5.1661535358322297E-01
                37   3.70000000E+00   1.00000000E-01                5   1.1316266846543768E-01   5.2798914634343086E-01
                38   3.80000000E+00   1.00000000E-01                5   1.1666442154059378E-01   5.3509471141668130E-01
                39   3.90000000E+00   1.00000000E-01                5   1.1912338541781928E-01   5.3461055495440735E-01
                40   4.00000000E+00   1.00000000E-01                5   1.2019703153873201E-01   5.2310053821453584E-01
                41   4.10000000E+00   1.00000000E-01                5   1.1982634967967297E-01   4.9991207675830529E-01
                42   4.20000000E+00   1.00000000E-01                5   1.1811394337000644E-01   4.6962286026117223E-01
                43   4.30000000E+00   1.00000000E-01                5   1.1517055499589580E-01   4.3872632961362851E-01
                44   4.40000000E+00   1.00000000E-01                5   1.1145758618022419E-01   4.1222381482971887E-01
                45   4.50000000E+00   1.00000000E-01                5   1.0702761819824928E-01   3.8750601653241445E-01
                46   4.60000000E+00   1.00000000E-01                5   1.0087867728490296E-01   3.5688725455565828E-01
                47   4.70000000E+00   1.00000000E-01                5   9.1452901486062305E-02   3.1569142375816350E-01
                48   4.80000000E+00   1.00000000E-01                5   8.0612931503693405E-02   2.7439932669677697E-01
                49   4.90000000E+00   1.00000000E-01                5   7.5863085870611774E-02   2.6327603601633204E-01
                50   5.00000000E+00   1.00000000E-01                5   8.2307963067820719E-02   2.9742229991220215E-01
                51   5.10000000E+00   1.00000000E-01                5   9.4276508964580091E-02   3.4898430657297547E-01
                52   5.20000000E+00   1.00000000E-01                5   1.0383524727881462E-01   3.7924717746916115E-01
                53   5.30000000E+00   1.00000000E-01                5   1.0930612841824633E-01   3.7951129248871124E-01
                54   5.40000000E+00   1.00000000E-01                5   1.1003069104607731E-01   3.6460951656587953E-01
                55   5.50000000E+00   1.00000000E-01                5   1.0698934610880789E-01   3.4571799368179790E-01
                56   5.60000000E+00   1.00000000E-01                5   1.0105568262015642E-01   3.2396029559168293E-01
                57   5.70000000E+00   1.00000000E-01                5   9.2965401692200911E-02   2.9947308013526230E-01
                58   5.80000000E+00   1.00000000E-01                5   8.4502556417389352E-02   2.7725849042288647E-01
                59   5.90000000E+00   1.00000000E-01                5   7.7569311684749537E-02   2.6328392301476428E-01
                60   6.00000000E+00   1.00000000E-01                5   7.3414499123622134E-02   2.6175626453520257E-01
                61   6.10000000E+00   1.00000000E-01                5   7.2699208053294634E-02   2.7438288381930359E-01
                62   6.20000000E+00   1.00000000E-01                5   7.4647159264623772E-02   2.9356588550471269E-01
                63   6.30000000E+00   1.00000000E-01                5   7.8178420119085199E-02   3.0449545257553617E-01
                64   6.40000000E+00   1.00000000E-01                5   8.2171429800672449E-02   2.9991643604337626E-01
                65   6.50000000E+00   1.00000000E-01                5   8.3604259919849502E-02   2.8716212619895198E-01
                66   6.60000000E+00   1.00000000E-01                5   8.3301130371245438E-02   2.7789651540200272E-01
                67   6.70000000E+00   1.00000000E-01                5   8.1811319477281957E-02   2.6991799239462733E-01
                68   6.80000000E+00   1.00000000E-01                5   7.8096017864223224E-02   2.5808758723471281E-01
                69   6.90000000E+00   1.00000000E-01                5   7.4454451354769122E-02   2.5256747968794030E-01
                70   7.00000000E+00   1.00000000E-01                5   7.4974216179964040E-02   2.6745899468392842E-01
                71   7.10000000E+00   1.00000000E-01                5   7.9498825248323288E-02   2.9849190993630303E-01
                72   7.20000000E+00   1.00000000E-01                5   8.4829995795452987E-02   3.3050395452098452E-01
                73   7.30000000E+00   1.00000000E-01                5   8.8976748869522587E-02   3.5451423245170072E-01
                74   7.40000000E+00   1.00000000E-01                5   9.1733660805291911E-02   3.6890001112603188E-01
                75   7.50000000E+00   1.00000000E-01                5   9.3289960375599584E-02   3.7249101097687082E-01
                76   7.60000000E+00   1.00000000E-01                5   9.3668178524957735E-02   3.6434666256703213E-01
                77   7.70000000E+00   1.00000000E-01                5   9.2553767603851117E-02   3.4757588024302183E-01
                78   7.80000000E+00   1.00000000E-01                5   8.9927038444958682E-02   3.2662148367466826E-01
                79   7.90000000E+00   1.00000000E-01                5   8.6374605306369770E-02   3.0517404358120087E-01
                80   8.00000000E+00   1.00000000E-01                5   8.2039313384055138E-02   2.8352320499908606E-01
                81   8.10000000E+00   1.00000000E-01                5   7.6345036764641147E-02   2.5864248789315342E-01
                82   8.20000000E+00   1.00000000E-01                5   6.9171612270517643E-02   2.3050369912260182E-01
                83   8.30000000E+00   1.00000000E-01                5   6.2603579894341066E-02   2.0845442608773693E-01
                84   8.40000000E+00   1.00000000E-01                5   6.1235401380583490E-02   2.0997630069651330E-01
                85   8.50000000E+00   1.00000000E-01                5   6.7013351006492194E-02   2.4015440743499814E-01
                86   8.60000000E+00   1.00000000E-01                5   7.6151046724907065E-02   2.7879954973678056E-01
